종목코드,판매비와관리비,판매비와관리비_전기,판매비와관리비_전전기,매출원가,매출원가_전기,매출원가_전전기
005930,87769374000000.0,81582674000000.0,71979938000000.0,202235513000000.0,186562268000000.0,180388580000000.0
000660,11484471000000.0,8360827000000.0,7196865000000.0,38455885000000.0,34364814000000.0,33299167000000.0
009150,1364037115666.0,1224216944019.0,1058815519148.0,9037090943877.0,8334880175421.0,7173051968878.0
373220,4532799000000.0,4310613000000.0,3456673000000.0,19439651000000.0,22213605000000.0,28802437000000.0
005380,22748985000000.0,21509615000000.0,18357495000000.0,152037636000000.0,139481946000000.0,129179183000000.0
207940,447419145016.0,389818319466.0,284557563474.0,2040331283534.0,1785960975728.0,1448652166250.0
028260,4394839546729.0,4124205031519.0,3696772909673.0,33054653924495.0,34995636300899.0,35328734489208.0
012450,2065715813000.0,1036021042000.0,734845023000.0,21252440665000.0,8370268280000.0,6461534941000.0
034020,1980598000000.0,1712119000000.0,1549683000000.0,14314566000000.0,13503336000000.0,14572887000000.0
000270,13429929000000.0,12103632000000.0,11020974000000.0,91632842000000.0,82677981000000.0,77179573000000.0
329180,926706215000.0,788707391000.0,476223550000.0,14616416939000.0,12992522670000.0,11309062476000.0
006400,3459262823381.0,2820116405959.0,2236718587883.0,11804981379541.0,13498684888608.0,17654581105996.0
068270,1298556030941.0,1189697735749.0,400387628832.0,1695467732345.0,1875590283775.0,1124562480391.0
012330,5472465000000.0,4989172000000.0,4466890000000.0,52288206000000.0,49174367000000.0,52492187000000.0
034730,8488063000000.0,8395547000000.0,7820896000000.0,113115428000000.0,112900478000000.0,115442649000000.0
066570,18363266000000.0,17959559000000.0,16147965000000.0,68359224000000.0,66348948000000.0,62461405000000.0
010120,,,,3914425271574.0,3644246452559.0,3457049066386.0
298040,452042026373.0,384790688814.0,336709354296.0,4715860048203.0,4103207266477.0,3663028821366.0
267260,397525681974.0,375594568595.0,295199640848.0,2686658538765.0,2277783725387.0,2092381405801.0
042660,672707859050.0,446049854409.0,295306750925.0,10943214281345.0,10092078699901.0,7309503815084.0
005490,,,,63928837811263.0,67275203824815.0,70710293228346.0
009540,1423931470000.0,1161276936000.0,765766421000.0,24604794179000.0,22943209928000.0,20248178434000.0
042700,61281136435.0,41275747991.0,28972848032.0,244617054373.0,244394994634.0,79604579238.0
015760,3233977000000.0,3070026000000.0,3061582000000.0,80704812000000.0,81964160000000.0,89699527000000.0
011200,573870000000.0,450617000000.0,390092000000.0,8856371000000.0,7736760000000.0,7426107000000.0
000150,2350502000000.0,1958383000000.0,1808807000000.0,16370921000000.0,15170732000000.0,15885061000000.0
096770,4569784016000.0,3950127885000.0,3661916013000.0,75996215314000.0,70256180214000.0,71830247957000.0
051910,8275371000000.0,8057361000000.0,6895754000000.0,38122707000000.0,41247486000000.0,46327032000000.0
018260,1122923162317.0,1101235247315.0,987918526367.0,11849842590785.0,11815899879484.0,11480694731911.0
010140,,,,9275684571315.0,8982515873610.0,7363956147068.0
033780,1800729000000.0,1713210000000.0,1640879000000.0,3435312000000.0,3006768000000.0,3054393000000.0
003550,,,,5898813000000.0,5746803000000.0,5438970000000.0
278470,805096131708.0,420894155120.0,291254657539.0,356728212739.0,179154162732.0,128360982155.0
267250,3956003736000.0,3443742196000.0,2933696658000.0,61203798281000.0,61338721114000.0,56366042540000.0
010950,807642000000.0,803682000000.0,751163000000.0,33203684000000.0,35411172000000.0,33620949000000.0
003670,,,,2682479712039.0,3464000350923.0,4502641709206.0
079550,343330878855.0,229238226374.0,160413734039.0,3644162941773.0,2823712221178.0,1961778919898.0
086280,696636613549.0,697328039262.0,537436215148.0,26796765177157.0,25957178819827.0,23591728438829.0
064350,386375504000.0,372482104000.0,254351856000.0,4447015540000.0,3547550219000.0,3122984003000.0
011070,,,,20147018000000.0,19457084000000.0,18741974000000.0
000720,1327277000000.0,1046487000000.0,917378000000.0,29082629000000.0,32887201000000.0,27948549000000.0
272210,271833574329.0,196447218733.0,181569236969.0,3272418268336.0,2387893541859.0,2148350487679.0
047810,338864575062.0,240772132979.0,216339884938.0,3088324579879.0,3152251662461.0,3355494014353.0
078930,3111279000000.0,3106272000000.0,2961914000000.0,19136787000000.0,19066519000000.0,19218281000000.0
003230,528840141423.0,378648158379.0,269217954233.0,1298756616303.0,1004797694924.0,776182562968.0
307950,190232900000.0,170076567000.0,157804114000.0,3806532174000.0,3319106592000.0,2725797447000.0
071050,1663235000000.0,1435466000000.0,1168525000000.0,,,
003490,2561647311888.0,1647968310901.0,1471405038434.0,21550305639563.0,14112550106909.0,12850301876908.0
443060,104710698509.0,90446120735.0,71420301624.0,1527848622141.0,1383282506544.0,1157570386406.0
005940,1255627000000.0,1110899000000.0,952720000000.0,,,
006260,1763616000000.0,1573465000000.0,1465663000000.0,29036584000000.0,24883462000000.0,22113378000000.0
028050,541817326106.0,537562956151.0,457632969865.0,7694872910652.0,8457376702309.0,9174156157542.0
0126Z0,155868841419.0,,,159461725128.0,,
047050,770422775000.0,764975446000.0,661870286000.0,30437865028000.0,30338179625000.0,31157792506000.0
090430,2740244548456.0,2526251154411.0,2410727650626.0,1176749125977.0,1138378200862.0,1155064685469.0
