종목코드,공시등급,공시성격,해당공시,공시일자,최근공시일
008600,7,중대 공시,주요사항보고서(회생절차개시신청),2026-09-04,2026-09-04
031860,7,중대 공시,조회공시요구(풍문또는보도)              (현직 임원의 횡령·배임혐의설),2026-09-04,2026-09-04
079950,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-09-04,2026-09-04
006380,7,중대 공시,기타시장안내              (상장폐지결정 효력정지 가처분 신청 기각결정에 따른 정리매매절차 재개),2026-09-02,2026-09-02
058450,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-09-02,2026-09-04
084180,7,중대 공시,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),2026-09-02,2026-09-03
465320,7,중대 공시,주권매매거래정지              (상장폐지 사유발생),2026-09-02,2026-09-03
035290,7,중대 공시,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),2026-09-02,2026-09-02
008290,7,중대 공시,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),2026-09-01,2026-09-01
121850,7,중대 공시,주권매매거래정지              (상장폐지 사유발생),2026-09-01,2026-09-01
368970,7,중대 공시,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),2026-09-01,2026-09-01
065570,7,중대 공시,기타시장안내              (개선기간 종료에 따른 상장폐지 여부 결정 안내),2026-09-01,2026-09-02
003000,7,중대 공시,출자법인회생절차및파산관련결정,2026-08-31,2026-08-31
001630,7,중대 공시,[기재정정]주요사항보고서(영업정지)(자회사의 주요경영사항),2026-08-31,2026-08-31
214390,7,중대 공시,[기재정정]주요사항보고서(영업정지),2026-08-31,2026-08-31
305090,7,중대 공시,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),2026-08-31,2026-09-04
472220,7,중대 공시,주권매매거래정지              (상장폐지 사유발생),2026-08-31,2026-09-01
025870,7,중대 공시,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),2026-08-31,2026-08-31
225430,7,중대 공시,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),2026-08-31,2026-08-31
224060,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-08-31,2026-08-31
131760,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-08-31,2026-08-31
080720,7,중대 공시,회생절차종결결정,2026-08-31,2026-09-01
099520,7,중대 공시,기타시장안내              (개선기간 종료에 따른 상장폐지 여부 결정 안내),2026-08-31,2026-08-31
246250,7,중대 공시,기타시장안내              (개선기간 종료에 따른 상장폐지 여부 결정 안내),2026-08-31,2026-08-31
445180,7,중대 공시,횡령ㆍ배임혐의진행사항,2026-08-31,2026-08-31
012630,7,중대 공시,[기재정정]회생절차개시결정,2026-08-28,2026-09-01
101000,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-08-28,2026-09-01
113810,7,중대 공시,기타시장안내              ((관리종목지정우려종목)(시가총액 200억원 미달)),2026-08-28,2026-08-28
177350,7,중대 공시,기타시장안내              ((관리종목지정우려종목)(시가총액 200억원 미달)),2026-08-28,2026-08-31
279600,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-08-28,2026-08-31
309710,7,중대 공시,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),2026-08-28,2026-08-28
306040,7,중대 공시,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),2026-08-27,2026-08-27
094850,7,중대 공시,횡령ㆍ배임혐의진행사항,2026-08-27,2026-08-27
