종목코드,종목명,시장구분,종목구분,현재가,등락률,시가총액,상장주식수,거래량,외국인비율,PER,ROE,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계,당기순이익_전기,매출액_전기,부채총계_전기,영업이익_전기,자본총계_전기,자산총계_전기,당기순이익_전전기,매출액_전전기,부채총계_전전기,영업이익_전전기,자본총계_전전기,자산총계_전전기,부채비율,영업이익률,ROE_계산,기준연도,보고서
005930,삼성전자,KOSPI,보통주,255500.0,2.2,1493724200000000.0,5846279.0,14031862.0,46.71,11.46,10.85,45206805000000.0,333605938000000.0,130621773000000.0,43601051000000.0,436320337000000.0,566942110000000.0,34451351000000.0,300870903000000.0,112339878000000.0,32725961000000.0,402192070000000.0,514531948000000.0,15487100000000.0,258935494000000.0,92228115000000.0,6566976000000.0,363677865000000.0,455905980000000.0,29.94,13.07,10.36,2025,사업보고서
000660,SK하이닉스,KOSPI,보통주,1647000.0,3.2,1203120900000000.0,730492.0,2827725.0,50.45,7.34,44.15,42947902000000.0,97146675000000.0,55440908000000.0,47206319000000.0,120666751000000.0,176107659000000.0,19796902000000.0,66192960000000.0,45939505000000.0,23467319000000.0,73915704000000.0,119855209000000.0,-9137547000000.0,32765719000000.0,46826413000000.0,-7730313000000.0,53503752000000.0,100330165000000.0,45.95,48.59,35.59,2025,사업보고서
402340,SK스퀘어,KOSPI,보통주,1041000.0,6.12,137332900000000.0,131924.0,428582.0,46.21,4.19,37.82,8818695000000.0,1411521000000.0,2521383000000.0,8797421000000.0,27983163000000.0,30504546000000.0,3650515000000.0,1649858000000.0,2335636000000.0,3920647000000.0,19585415000000.0,21921051000000.0,-1314834000000.0,2008116000000.0,2153491000000.0,-2333631000000.0,15816517000000.0,17970008000000.0,9.01,623.26,31.51,2025,사업보고서
009150,삼성전기,KOSPI,보통주,1401000.0,3.93,104645900000000.0,74694.0,572762.0,37.6,107.9,7.7,730989517218.0,11314459238100.0,4798551372605.0,913331178557.0,9797343882863.0,14595895255468.0,703215637082.0,10294102976435.0,3776548889114.0,735005856995.0,9015854031770.0,12792402920884.0,450482125173.0,8892411942806.0,3627546626400.0,660544454780.0,8030324975448.0,11657871601848.0,48.98,8.07,7.46,2025,사업보고서
373220,LG에너지솔루션,KOSPI,보통주,358500.0,-1.92,83889000000000.0,234000.0,288467.0,5.56,-49.84,-5.19,80803000000.0,23671759000000.0,37826277000000.0,1346120000000.0,29321676000000.0,67147953000000.0,338602000000.0,25619585000000.0,29340248000000.0,575387000000.0,30966543000000.0,60306791000000.0,1637985000000.0,33745470000000.0,21063635000000.0,2163234000000.0,24373509000000.0,45437144000000.0,129.0,5.69,0.28,2025,사업보고서
005380,현대차,KOSPI,보통주,383500.0,0.0,78524600000000.0,204758.0,358567.0,24.31,12.49,8.41,10364775000000.0,186254472000000.0,241196612000000.0,11467851000000.0,127648237000000.0,368844849000000.0,13229908000000.0,175231153000000.0,219522496000000.0,14239592000000.0,120275933000000.0,339798429000000.0,12272301000000.0,162663579000000.0,180653915000000.0,15126901000000.0,101809440000000.0,282463355000000.0,188.95,6.16,8.12,2025,사업보고서
207940,삼성바이오로직스,KOSPI,보통주,1447000.0,-2.03,66983000000000.0,46291.0,45399.0,13.07,39.97,19.44,1784352060593.0,4556971695180.0,3609631328852.0,2069221266630.0,7451110647985.0,11060741976837.0,1083315885986.0,3497145675782.0,6431620287493.0,1321366380588.0,10904676062018.0,17336296349511.0,857691298384.0,2938755680729.0,6215704796851.0,1205545951005.0,9830492412345.0,16046197209196.0,48.44,45.41,23.95,2025,사업보고서
032830,삼성생명,KOSPI,보통주,297500.0,-1.82,59500000000000.0,200000.0,292663.0,23.19,21.23,4.96,2451515000000.0,,285850383000000.0,2580469000000.0,64835318000000.0,350685701000000.0,2260255000000.0,,274116162000000.0,2499751000000.0,38102682000000.0,312218844000000.0,2033709000000.0,,270317609000000.0,2398377000000.0,44337441000000.0,314655050000000.0,440.89,,3.78,2025,사업보고서
105560,KB금융,KOSPI,보통주,172000.0,-3.32,61006300000000.0,354688.0,1339705.0,79.17,10.27,9.98,5840715000000.0,,737093044000000.0,8517711000000.0,60829989000000.0,797923033000000.0,5028606000000.0,,698030351000000.0,8045261000000.0,59815181000000.0,757845532000000.0,4526334000000.0,,657089226000000.0,6385021000000.0,58636190000000.0,715725416000000.0,1211.73,,9.6,2025,사업보고서
028260,삼성물산,KOSPI,보통주,367000.0,-1.34,59515500000000.0,162168.0,395781.0,30.9,22.22,6.02,3906652564846.0,40742240967149.0,29035796293982.0,3292747495925.0,57496949405446.0,86532745699428.0,2772012091811.0,42103238027336.0,24731886937019.0,2983396694918.0,37258539898529.0,61990426835548.0,2719106116709.0,41895681215734.0,26229919730957.0,2870173816853.0,39897109481722.0,66127029212679.0,50.5,8.08,6.79,2025,사업보고서
