종목코드,표준산업분류,수집일
005930,264,2026-09-21
000660,2612,2026-09-21
402340,64992,2026-09-21
009150,2622,2026-09-21
373220,28202,2026-09-21
005380,30121,2026-09-21
207940,211,2026-09-21
032830,65110,2026-09-21
105560,64992,2026-09-21
028260,467,2026-09-21
012450,31321,2026-09-21
034020,29119,2026-09-21
055550,64992,2026-09-21
000270,30121,2026-09-21
329180,31113,2026-09-21
006400,28202,2026-09-21
068270,21100,2026-09-21
012330,303,2026-09-21
034730,64992,2026-09-21
086790,64992,2026-09-21
035420,63120,2026-09-21
066570,264,2026-09-21
010120,28121,2026-09-21
000810,65121,2026-09-21
298040,281,2026-09-21
267260,281,2026-09-21
010130,24213,2026-09-21
042660,3111,2026-09-21
005490,2411,2026-09-21
009540,64992,2026-09-21
316140,64992,2026-09-21
017670,61220,2026-09-21
042700,29271,2026-09-21
015760,35120,2026-09-21
011200,50112,2026-09-21
138040,64992,2026-09-21
000150,26221,2026-09-21
096770,192,2026-09-21
006800,66121,2026-09-21
051910,20111,2026-09-21
018260,62021,2026-09-21
010140,3111,2026-09-21
033780,12000,2026-09-21
003550,64992,2026-09-21
278470,20423,2026-09-21
267250,64992,2026-09-21
010950,19210,2026-09-21
024110,64121,2026-09-21
003670,282,2026-09-21
035720,63120,2026-09-21
079550,25200,2026-09-21
086280,5299,2026-09-21
064350,31910,2026-09-21
011070,262,2026-09-21
000720,41221,2026-09-21
272210,26299,2026-09-21
030200,612,2026-09-21
047810,31311,2026-09-21
005830,65121,2026-09-21
078930,64992,2026-09-21
003230,108,2026-09-21
307950,582,2026-09-21
071050,64992,2026-09-21
003490,511,2026-09-21
323410,64121,2026-09-21
259960,5821,2026-09-21
443060,7212,2026-09-21
005940,66121,2026-09-21
006260,64992,2026-09-21
028050,72129,2026-09-21
0126Z0,64992,2026-09-21
047050,461,2026-09-21
090430,20423,2026-09-21
180640,64992,2026-09-21
007660,2622,2026-09-21
161390,221,2026-09-21
047040,41112,2026-09-21
016360,66121,2026-09-21
352820,592,2026-09-21
009830,20111,2026-09-21
064400,62021,2026-09-21
039490,66121,2026-09-21
000880,20494,2026-09-21
021240,969,2026-09-21
326030,7011,2026-09-21
267270,29241,2026-09-21
128940,21212,2026-09-21
377300,66199,2026-09-21
032640,61220,2026-09-21
000100,212,2026-09-21
062040,28112,2026-09-21
000500,28302,2026-09-21
241560,29241,2026-09-21
001440,28302,2026-09-21
066970,28202,2026-09-21
029780,64913,2026-09-21
175330,64992,2026-09-21
353200,2622,2026-09-21
088350,65110,2026-09-21
010060,64992,2026-09-21
271560,108,2026-09-21
036570,582,2026-09-21
034220,2621,2026-09-21
088980,64201,2026-09-21
051900,20422,2026-09-21
138930,64992,2026-09-21
052690,72129,2026-09-21
454910,2928,2026-09-21
011790,204,2026-09-21
001450,65121,2026-09-21
004020,2411,2026-09-21
000990,2611,2026-09-21
002380,20411,2026-09-21
082740,29111,2026-09-21
004170,47111,2026-09-21
161890,20423,2026-09-21
001040,64992,2026-09-21
018880,29172,2026-09-21
103590,2830,2026-09-21
192820,20423,2026-09-21
036460,35200,2026-09-21
009420,212,2026-09-21
111770,46800,2026-09-21
022100,72129,2026-09-21
006360,4111,2026-09-21
012750,75320,2026-09-21
011780,201,2026-09-21
035250,91249,2026-09-21
085620,65110,2026-09-21
251270,5821,2026-09-21
031210,65122,2026-09-21
028670,50112,2026-09-21
302440,211,2026-09-21
008930,64992,2026-09-21
336260,28111,2026-09-21
017800,29162,2026-09-21
023530,47111,2026-09-21
004800,649,2026-09-21
139130,64992,2026-09-21
483650,20423,2026-09-21
097950,108,2026-09-21
375500,412,2026-09-21
007340,28202,2026-09-21
004370,108,2026-09-21
450080,28202,2026-09-21
026960,4632,2026-09-21
003690,65200,2026-09-21
383220,14111,2026-09-21
001720,66121,2026-09-21
011170,20111,2026-09-21
282330,47122,2026-09-21
489790,264,2026-09-21
005850,303,2026-09-21
103140,242,2026-09-21
004990,64992,2026-09-21
204320,303,2026-09-21
000240,64992,2026-09-21
279570,64121,2026-09-21
181710,5821,2026-09-21
007070,47122,2026-09-21
