종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,매출액_전기,매출액_원화_전기,PER_전전기,PER,PER_전기,PBR_전전기,PBR,PBR_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,EBITDA_전기,EBITDA_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,영업이익_전기,영업이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,당기순이익_전기,당기순이익_원화_전기,배당수익률_전전기,배당수익률,배당수익률_전기,ROA_전전기,ROA,ROA_전기,영업이익률
NVDA,NVDA.O,엔비디아,NVIDIA Corporation,나스닥,USD,228.45,1.8,5505645000000.0,134681610.0,0.44,반도체,True,미국,2026.0,01.25,60922000000.0,82317806000000.0,215938000000.0,291775426000000.0,130497000000.0,176327546000000.0,110.62,43.05,64.14,77.07,33.61,58.57,35103000000.0,47431174000000.0,137775000000.0,186161580000000.0,83948000000.0,113430537999999.98,33595000000.0,45393564000000.0,134887000000.0,182259314000000.0,82055000000.0,110872715999999.98,29760000000.0,40211712000000.0,120067000000.0,162234530000000.0,72880000000.0,98475456000000.0,0.03,0.46,0.02,55.67,75.42,82.2,62.47
AAPL,AAPL.O,애플,Apple Inc.,나스닥,USD,328.21,1.0,4789955817800.0,37225838.0,0.33,전화 및 소형 장치,True,미국,2025.0,09.27,383285000000.0,517856363999999.94,416161000000.0,562275126999999.94,391035000000.0,528327388999999.94,37.73,43.01,38.3,57.9,64.06,68.6,125820000000.0,169995402000000.0,144748000000.0,195569023000000.0,134661000000.0,181940477000000.0,114301000000.0,154432081000000.0,133050000000.0,179763855000000.0,123216000000.0,166477138000000.0,96995000000.0,131049945000000.0,111524000000.0,150680076000000.0,103982000000.0,140490080000000.0,0.43,0.34,0.4,27.5,30.8,28.98,31.97
MSFT,MSFT.O,마이크로소프트,Microsoft Corporation,나스닥,USD,510.12,2.68,3787919265868.0,24125893.0,0.71,소프트웨어,True,미국,2026.0,06.30,245122000000.0,331208846000000.0,331839000000.0,448380857000000.0,281724000000.0,380665469000000.0,43.45,28.59,27.77,14.22,8.62,8.26,131720000000.0,177980064000000.0,194237000000.0,262453034000000.0,156528000000.0,211500634000000.0,109433000000.0,147865870000000.0,155237000000.0,209756234000000.0,128528000000.0,173667034000000.0,88136000000.0,119089362999999.98,133749000000.0,180721649000000.0,101832000000.0,137595398000000.0,0.65,0.71,0.95,19.07,19.42,18.0,46.78
AMZN,AMZN.O,아마존닷컴,Amazon.com Inc,나스닥,USD,258.9,1.54,2792576583790.0,26891531.0,0.0,백화점,True,미국,2025.0,12.31,574785000000.0,776592014000000.0,716924000000.0,968636016000000.0,637959000000.0,861946405000000.1,81.83,34.01,43.35,12.22,6.96,8.86,67819000000.0,91630251000000.0,131592000000.0,177793951000000.0,101456000000.0,137077202000000.0,36913000000.0,49873154000000.0,88875000000.0,120079012999999.98,68518000000.0,92574670000000.0,30425000000.0,41107218000000.0,77670000000.0,104939937000000.02,59248000000.0,80049973000000.0,,,,6.15,10.84,10.3,12.4
GOOGL,GOOGL.O,알파벳 Class A,Alphabet Inc. Class A,나스닥,USD,342.48,1.59,2294168780000.0,20726904.0,0.26,온라인 서비스,True,미국,2025.0,12.31,307394000000.0,415320033000000.0,402836000000.0,544271720000000.0,350018000000.0,472909320000000.0,32.7,30.87,40.3,8.97,10.09,12.7,100172000000.0,135342388999999.98,156375000000.0,211278263000000.0,129538000000.0,175018792000000.0,88226000000.0,119202149000000.0,135239000000.0,182721413000000.0,114227000000.0,154332100000000.0,75895000000.0,102541735000000.0,132170000000.0,178574887000000.0,102818000000.0,138917400000000.0,0.39,0.25,0.25,19.77,25.28,24.12,33.57
SPCX,SPCX.O,스페이스X,Space Exploration Technologies Corp,나스닥,USD,149.74,6.42,2032394310127.0,121333582.0,0.0,무선 통신 서비스,True,미국,2025.0,12.31,,,18674000000.0,25230441000000.0,,,,,,,719.1,,,,4967000000.0,6710914000000.0,,,,,-2064000000.0,-2788670000000.0,,,,,-4937000000.0,-6670381000000.0,,,,,,,-6.62,,-11.05
GOOG,GOOG.O,알파벳 Class C,Alphabet Inc. Class C,나스닥,USD,339.08,1.59,1872879220000.0,12858301.0,0.26,온라인 서비스,True,미국,2025.0,12.31,307394000000.0,415320033000000.0,402836000000.0,544271720000000.0,350018000000.0,472909320000000.0,32.7,30.87,40.3,8.97,10.09,12.7,100172000000.0,135342388999999.98,156375000000.0,211278263000000.0,129538000000.0,175018792000000.0,88226000000.0,119202149000000.0,135239000000.0,182721413000000.0,114227000000.0,154332100000000.0,75895000000.0,102541735000000.0,132170000000.0,178574887000000.0,102818000000.0,138917400000000.0,0.39,0.25,0.25,19.77,25.28,24.12,33.57
AVGO,AVGO.O,브로드컴,Broadcom Inc,나스닥,USD,357.16,-2.74,1699217343517.0,60242595.0,0.73,반도체,True,미국,2025.0,11.02,35819000000.0,48395051000000.0,63887000000.0,86317726000000.0,51574000000.0,69681631000000.01,53.56,75.97,256.14,30.98,21.51,27.02,20290000000.0,27413819000000.0,34926000000.0,47188519000000.0,25260000000.0,34128786000000.0,16455000000.0,22232351000000.0,26151000000.0,35332616000000.0,15250000000.0,20604275000000.0,14082000000.0,19026190000000.0,23126000000.0,31245539000000.0,6168000000.0,8333585000000.001,1.18,0.71,0.6,19.28,13.74,5.17,40.93
META,META.O,메타,Meta Platforms  Inc.,나스닥,USD,610.68,3.01,1555711101482.0,19737139.0,0.34,온라인 서비스,True,미국,2025.0,12.31,134902000000.0,182266092000000.0,200966000000.0,271525163000000.0,164501000000.0,222257300999999.97,40.0,19.92,27.15,10.83,6.73,9.14,61384000000.0,82935922000000.0,102129000000.0,137986492000000.0,85270000000.0,115208297000000.0,50203000000.0,67829273000000.0,83513000000.0,112834413999999.98,69769000000.0,94264896000000.0,39673000000.0,53602190000000.0,74488000000.0,100640737000000.0,63078000000.0,85224686000000.0,0.31,0.36,0.32,19.1,23.2,24.95,41.56
TSLA,TSLA.O,테슬라,Tesla Inc,나스닥,USD,376.37,5.42,1486471404942.0,63600987.0,0.0,자동차 및 트럭 제조,True,미국,2025.0,12.31,96773000000.0,130750000000000.0,94827000000.0,128120760000000.02,97690000000.0,131988959000000.02,94.47,296.14,204.69,20.67,15.93,19.81,13558000000.0,18318214000000.0,10997000000.0,14858047000000.0,13128000000.0,17737241000000.0,8891000000.0,12012630000000.0,4849000000.0,6551484000000.0,7760000000.0,10484536000000.0,14999000000.0,20265149000000.0,3794000000.0,5126073000000.0,7130000000.0,9633343000000.0,,,,15.85,2.97,6.26,5.11
SKHY,SKHY.O,SK하이닉스 ADR,SK hynix Inc. ADR,나스닥,USD,163.68,-0.79,1193007050400.0,14757656.0,0.0,반도체,True,미국,2025.0,12.31,,,96678972600000.0,96678973000000.0,,,,36.69,,,12.91,,,,60801808220000.0,60801807999999.99,,,,,46938753420000.0,46938753000000.0,,,,,42712657530000.0,42712658000000.0,,,,,,,29.02,,48.55
MU,MU.O,마이크론 테크놀로지,Micron Technology  Inc.,나스닥,USD,958.16,0.22,1082139341562.0,24175871.0,0.06,반도체,True,미국,2025.0,08.28,15540000000.0,20996094000000.0,37378000000.0,50501416000000.0,25111000000.0,33927471999999.996,,121.69,296.38,2.26,19.32,4.0,2297000000.0,3103477000000.0,18258000000.0,24668384000000.0,8830000000.0,11930213000000.0,-5459000000.0,-7375655000000.0,9866000000.0,13329953000000.0,1046000000.0,1413251000000.0,-5833000000.0,-7880966000000.0,8539000000.0,11537043000000.0,778000000.0,1051156000000.0,0.51,0.06,0.28,-8.94,11.21,1.18,26.4
WMT,WMT.O,월마트,Walmart Inc,나스닥,USD,108.42,2.2,860176767449.0,25541209.0,0.91,식품 소매 및 유통,True,미국,2026.0,01.31,648125000000.0,875746500000000.0,713163000000.0,963625846000000.1,680985000000.0,920146932000000.0,54.38,37.77,55.67,9.99,8.25,11.8,38865000000.0,52514388000000.0,44028000000.0,59490634000000.0,42321000000.0,57184135000000.0,27012000000.0,36498614000000.0,29825000000.0,40299540000000.0,29348000000.0,39655018000000.0,15511000000.0,20958463000000.0,21893000000.0,29581821999999.996,19436000000.0,26261923000000.0,0.8,0.96,0.7,6.57,8.17,7.86,4.18
AMD,AMD.O,AMD(어드밴스드 마이크로 디바이시스),Advanced Micro Devices  Inc.,나스닥,USD,456.16,-0.2,744669815158.0,14868085.0,0.0,반도체,True,미국,2025.0,12.27,22680000000.0,30642948000000.0,34639000000.0,46800753000000.0,25785000000.0,34838114000000.0,188.49,175.91,198.18,3.35,12.05,6.67,4176000000.0,5642194000000.0,6563000000.0,8867269000000.0,5137000000.0,6940600999999.999,625000000.0,844437999999.9999,3788000000.0,5117967000000.0,2289000000.0,3092668000000.0,854000000.0,1153839000000.0,4269000000.0,5767846000000.0,1641000000.0,2217155000000.0,,,,1.24,5.81,2.35,10.94
ASML,ASML.O,ASML 홀딩 ADR,ASML Holding N.V. ADR,나스닥,USD,1646.19,-2.15,632301579000.0,1439234.0,0.55,반도체 장비 및 테스트,True,미국,2025.0,12.31,27558390000.0,43271635000000.0,32667290000.0,51293527000000.0,28262810000.0,44377697000000.0,34.97,59.17,60.89,20.41,28.77,24.64,9804460000.0,15394767000000.002,12358890000.0,19405684000000.0,9960970000.0,15640512000000.0,9071270000.0,14243520000000.002,11319400000.0,17773491000000.0,9047670000.0,14206476999999.998,7838970000.0,12308594000000.0,9609390000.0,15088476000000.0,7571580000.0,11888738000000.0,0.92,0.54,0.53,20.06,18.95,16.63,34.65
INTC,INTC.O,인텔,Intel Corp,나스닥,USD,91.67,1.8,484482322073.0,79927773.0,0.0,반도체,True,미국,2025.0,12.27,54228000000.0,73267451000000.0,52853000000.0,71409688000000.0,53101000000.0,71744761000000.0,56.63,,,0.83,3.91,2.05,9480000000.0,12808428000000.0,11683000000.0,15784901000000.0,6671000000.0,9013188000000.0,-122000000.0,-164834000000.0,-23000000.0,-31075000000.0,-4708000000.0,-6360979000000.0,1689000000.0,2282008000000.0,-267000000.0,-360744000000.0,-18756000000.0,-25341232000000.0,2.4,0.61,1.06,0.9,0.01,-9.91,-0.04
PLTR,PLTR.O,팔란티어 테크놀로지스,Palantir Technologies Inc.,나스닥,USD,182.53,7.71,438630264354.0,38107976.0,0.0,소프트웨어,True,미국,2025.0,12.31,2225010000.0,3006214000000.0,4475450000.0,6046775000000.0,2865510000.0,3871587000000.0005,903.41,294.07,777.29,52.22,60.3,68.52,153320000.0,207151000000.00003,1440160000.0,1945800000000.0,341990000.0,462063000000.0,119970000.0,162086000000.0,1414020000.0,1910475999999.9998,310400000.0,419385000000.00006,209820000.0,283495000000.0,1625030000.0,2195582000000.0,462190000.0,624465000000.0,,,,5.45,21.45,8.61,31.6
CSCO,CSCO.O,시스코 시스템즈,Cisco Systems Inc,나스닥,USD,108.61,-0.77,428204360276.0,14219126.0,1.55,통신 및 네트워킹,True,미국,2026.0,07.25,53803000000.0,72693233000000.0,63325000000.0,85558408000000.0,56654000000.0,76545219000000.0,26.49,30.97,44.6,6.33,8.62,10.27,15348000000.0,20736683000000.0,18976000000.0,25638474000000.0,16334000000.0,22068867000000.0,12995000000.0,17557545000000.002,16436000000.0,22206680000000.0,13432000000.0,18147975000000.0,10320000000.0,13943351999999.998,13267000000.0,17925044000000.0,9460000000.0,12781406000000.0,2.28,1.53,1.38,9.12,10.53,7.67,25.95
COST,COST.O,코스트코 홀세일,Costco Wholesale Corp,나스닥,USD,925.41,-0.33,410399720009.0,2172780.0,0.64,할인점,True,미국,2025.0,08.31,242290000000.0,327358019000000.0,275235000000.0,371870009000000.0,254453000000.0,343791448000000.0,64.07,51.93,57.42,16.03,14.37,17.84,10191000000.0,13769060000000.0,12809000000.0,17306240000000.0,11522000000.0,15567374000000.0,8114000000.0,10962825000000.0,10383000000.0,14028471000000.0,9285000000.0,12544964000000.0,6292000000.0,8501121000000.001,8099000000.0,10942559000000.0,7367000000.0,9953554000000.0,0.51,0.62,0.55,9.45,11.02,10.61,3.77
LRCX,LRCX.O,램 리서치,Lam Research Corporation,나스닥,USD,292.66,1.51,366211603860.0,7211727.0,0.45,반도체 장비 및 테스트,True,미국,2026.0,06.28,14905390000.0,20138672000000.0,23232690000.0,31389687000000.0,18435590000.0,24908326000000.0,32.97,52.4,73.49,14.8,30.29,39.27,4685950000.0,6331187000000.0,8641330000.0,11675298000000.0,6287240000.0,8494697000000.0,4325480000.0,5844149000000.0,8199799999.999999,11078743000000.0,5900970000.0,7972798000000.0,3827770000.0,5171703000000.0,7265400000.0,9816277000000.0,5358220000.0,7239487000000.0,0.95,0.44,0.34,20.4,32.38,26.73,35.29
AMAT,AMAT.O,어플라이드 머티어리얼즈,Applied Materials Inc,나스닥,USD,435.91,-0.58,345937061378.0,6004455.0,0.49,반도체 장비 및 테스트,True,미국,2025.0,10.26,26517000000.0,35827119000000.0,28368000000.0,38328005000000.0,27176000000.0,36717494000000.0,23.3,52.06,26.74,9.78,17.93,9.9,8171000000.0,11039838000000.0,8946000000.0,12086941000000.0,8259000000.0,11158735000000.0,7654000000.0,10341319000000.0,8511000000.0,11499212000000.0,7867000000.0,10629104000000.0,6856000000.0,9263142000000.0,6998000000.0,9454998000000.0,7177000000.0,9696845000000.0,0.83,0.46,0.8,23.87,19.79,22.04,30.0
NFLX,NFLX.O,넷플릭스,Netflix  Inc.,나스닥,USD,82.67,-0.07,344232893014.0,24006372.0,0.0,온라인 서비스,True,미국,2025.0,12.31,33723300000.000004,45563551000000.0,45183040000.0,61046805000000.01,39000960000.0,52694197000000.0,71.32,32.33,44.37,18.04,12.96,15.21,21508390000.0,29059986000000.0,30082160000.0,40644006000000.0,26048040000.0,35193507000000.0,6954000000.0,9395553000000.0,13326600000.0,18005569000000.0,10417610000.0,14075232999999.998,5407990000.0,7306735000000.001,10981200000.0,14836699000000.0,8711630000.0,11770285000000.0,,,,11.11,20.11,17.02,29.49
PANW,PANW.O,팔로 알토 네트웍스,Palo Alto Networks  Inc.,나스닥,USD,331.94,1.05,270531100000.0,6912607.0,0.0,소프트웨어,True,미국,2025.0,07.31,6892700000.0,9312727000000.0,9221500000.0,12459169000000.0,8027500000.0,10845955000000.0,260.1,232.44,46.26,58.91,31.72,22.27,669500000.0,904561000000.0,1586300000.0,2143250000000.0,1171600000.0,1582949000000.0,387300000.0,523281000000.00006,1242900000.0,1679282000000.0,888300000.0,1200182000000.0,439700000.0,594079000000.0,1133900000.0,1532012000000.0,2577600000.0,3482594999999.9995,,,,3.29,5.21,14.95,13.48
