종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전기,매출액_원화_전기,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,PER_전기,PER_전전기,PER,PBR_전기,PBR_전전기,PBR,EBITDA_전기,EBITDA_원화_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,영업이익_전기,영업이익_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,당기순이익_전기,당기순이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,배당수익률_전기,배당수익률_전전기,ROA_전기,ROA_전전기,ROA,영업이익률
7203,7203.T,토요타자동차,TOYOTA MOTOR CORPORATION,도쿄,JPY,3081.0,-1.15,44967156364260.0,21768900.0,3.21,자동차 및 트럭 제조,True,일본,2026.0,3.31,48036700000000.0,414196446000000.0,45095320000000.0,388834397000000.0,50684950000000.0,437030981000000.0,8.34,7.6,10.55,1.09,1.09,1.02,7309725000000.0,63028104000000.0,7722385000000.0,66586265000000.0,6533583000000.0,56335818999999.99,4795586000000.0,41349940000000.0,5352934000000.0,46155673000000.0,3766216000000.0,32474197000000.0,4765086000000.0,41086954000000.0,4944933000000.0,42637685000000.0,3848098000000.0,33180225000000.0,3.17,3.06,5.21,6.17,4.0,7.43
8306,8306.T,미쓰비시 UFJ 파이낸셜 그룹,Mitsubishi UFJ Financial Group  Inc.,도쿄,JPY,3785.0,0.83,44919285832200.0,53609400.0,2.56,은행,True,일본,2026.0,3.31,8467719000000.0,73012907000000.0,7468679000000.0,64398685000000.0,8723940000000.0,75222173000000.0,16.53,13.81,16.55,1.57,1.08,1.85,4554225000000.0,39268805000000.0,3844376000000.0,33148132000000.0,5603138000000.0,48313057000000.0,4139196000000.0,35690218000000.0,3482009000000.0,30023623000000.0,5150465000000.0,44409884000000.0,1862946000000.0,16063251999999.998,1490781000000.0,12854259000000.0,2427229000000.0,20928782000000.0,2.64,2.51,0.48,0.4,0.61,59.04
9984,9984.T,소프트뱅크 그룹,SoftBank Group Corp.,도쿄,JPY,5590.0,11.78,31929230990800.0,77803600.0,0.22,무선 통신 서비스,True,일본,2026.0,3.31,7243752000000.0,62459252000000.0,6756500000000.0,58257921000000.0,7798650000000.0,67243860000000.0,11.5,44.25,6.11,3.05,0.97,1.67,1593426000000.0,13739316000000.0,1412948000000.0,12183144000000.0,910703000000.0,7852537000000.0,729794000000.0,6292649000000.0,560009000000.0,4828678000000.0,-4789000000.0,-41293000000.0,1134510000000.0,9782312000000.0,-250495000000.0,-2159893000000.0,4983632000000.0,42971367000000.0,0.18,0.59,3.49,0.46,10.65,-0.06
285A,285A.T,키옥시아 홀딩스,Kioxia Holdings Corporation,도쿄,JPY,54460.0,5.4,29868696682440.0,30527100.0,0.0,반도체,True,일본,2026.0,3.31,1706460000000.0,14713951000000.0,1076584000000.0,9282846000000.0,2337628000000.0,20156197000000.0,71.82,,47.58,44.88,7.37,18.7,754477000000.0,6505478000000.0,86839000000.0,748769000000.0,1181839000000.0,10190407000000.0,442170000000.0,3812611000000.0,-259229000000.0,-2235202000000.0,869013000000.0,7493064999999.999,272315000000.0,2348036000000.0,-243728000000.0,-2101545000000.0,554490000000.0,4781090000000.0,,,9.42,-8.35,16.78,37.17
8316,8316.T,스미토모 미쓰이 파이낸셜그룹,Sumitomo Mitsui Financial Group  Inc.,도쿄,JPY,7083.0,-0.08,26923367617119.0,14975900.0,2.54,은행,True,일본,2026.0,3.31,6928577000000.0,59741655000000.01,6213520000000.0,53576076000000.0,7224758000000.0,62295476000000.0,17.7,12.52,16.13,1.46,0.92,1.67,3525434000000.0,30398055000000.0,3161188000000.0,27257344000000.0,4004019000000.0,34524654000000.0,3244654000000.0,27977029000000.0,2868119000000.0,24730356000000.0,3712935000000.0,32014782000000.0,1177996000000.0,10157271000000.0,962946000000.0,8303002000000.0,1582973000000.0,13649185000000.0,2.52,3.06,0.39,0.34,0.5,51.39
8035,8035.T,도쿄일렉트론,Tokyo Electron Limited,도쿄,JPY,53320.0,0.04,24955505323560.0,2599600.0,1.49,반도체 장비 및 테스트,True,일본,2026.0,3.31,2431568000000.0,20966195000000.0,1830527000000.0,15783719000000.0,2443533000000.0,21069363000000.0,38.79,27.8,45.07,11.32,5.59,12.36,759584000000.0,6549513000000.0,508675000000.0,4386050000000.0,706281000000.0,6089908000000.0,697319000000.0,6012633000000.0,456263000000.0,3934128000000.0,624936000000.0,5388511000000.0,544133000000.0,4691787000000.0,363963000000.0,3138271000000.0,574454000000.0,4953230000000.0,1.29,2.4,21.41,15.27,20.94,25.58
6501,6501.T,히타치,Hitachi  Ltd.,도쿄,JPY,5377.0,0.47,24387711416345.0,8019400.0,1.1,소비재 대기업,True,일본,2026.0,3.31,9783370000000.0,84357108000000.0,9728716000000.0,83885854000000.0,10586780000000.0,91284511000000.0,36.88,32.23,30.31,4.09,3.04,3.8,1402013000000.0,12088857000000.0,1205438000000.0,10393889000000.0,1655952000000.0,14278446000000.0,971606000000.0,8377673000000.0,755816000000.0,6517023000000.0,1199275000000.0,10340749000000.0,615724000000.0,5309080000000.0,589896000000.0,5086378000000.0,802368000000.0,6918417999999.999,0.86,1.1,5.15,5.07,6.01,11.33
6857,6857.T,어드반테스트,ADVANTEST CORPORATION,도쿄,JPY,33090.0,2.51,24221880000000.0,7464900.0,0.22,반도체 장비 및 테스트,True,일본,2026.0,3.31,779707000000.0,6723024000000.001,486507000000.0,4194907000000.0,1128610000000.0,9731440000000.0,123.3,60.66,71.45,42.64,9.39,32.16,276629000000.0,2385234000000.0,113550000000.0,979085000000.0,522228000000.0,4502911000000.0,249554000000.0,2151779000000.0,87447000000.0,754012000000.0,496616000000.0,4282071000000.0,161177000000.0,1389749000000.0,62290000000.0,537096000000.0,375353000000.0,3236481000000.0,0.17,0.67,21.13,9.8,37.05,44.0
6098,6098.T,리쿠르트 홀딩스,Recruit Holdings Co Ltd,도쿄,JPY,16235.0,-1.22,23906104859015.0,6130000.0,0.16,고용 서비스,True,일본,2026.0,3.31,3557478000000.0,30674354000000.0,3416492000000.0,29458702000000.0,3697351000000.0,31880409000000.004,27.36,33.4,48.0,7.09,6.37,15.7,634420000000.0,5470286000000.0,565998000000.0,4880318000000.0,737644000000.0,6360335000000.0,525184000000.0,4528399000000.0,448517000000.0,3867338000000.0,630567000000.0,5437064000000.0,408504000000.0,3522326000000.0,353654000000.0,3049382000000.0,496912000000.0,4284624000000.0,0.31,0.28,13.8,11.94,17.86,17.05
6758,6758.T,소니 그룹,Sony Group Corporation,도쿄,JPY,3885.0,-0.26,23175253926510.0,12054400.0,0.9,가정용 전자 제품,True,일본,2026.0,3.31,12957060000000.0,111722250000000.0,13020770000000.0,112271588999999.98,12479620000000.0,107605523000000.0,16.7,24.83,20.78,2.3,2.88,2.86,2563614000000.0,22104762000000.0,2308314000000.0,19903437000000.0,2692356000000.0,23214840000000.0,1412640000000.0,12180488000000.0,1166986000000.0,10062337000000.0,1511701000000.0,13034642000000.0,1141600000000.0,9843446000000.0,970573000000.0,8368766000000.0,1030893000000.0,8888875000000.0,0.72,0.53,3.34,3.0,4.14,12.11
