종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,매출액_전기,매출액_원화_전기,PER_전전기,PER,PER_전기,PBR_전전기,PBR,PBR_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,EBITDA_전기,EBITDA_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,영업이익_전기,영업이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,당기순이익_전기,당기순이익_원화_전기,배당수익률_전전기,배당수익률_전기,ROA_전전기,ROA,ROA_전기,영업이익률
601288,601288.SS,농업은행,Agricultural Bank of China Ltd Class A,상해,CNY,6.96,1.02,2221939707008.0,253620542.0,3.62,은행,True,중국,2025,12.31,1223698000000.0,245791979999999.97,1201338000000.0,241300750999999.97,1275680000000.0,256233085000000.0,7.21,8.82,8.36,0.64,0.75,0.75,395152000000.0,79370231000000.0,428197000000.0,86007649000000.0,440394000000.0,88457539000000.0,377193000000.0,75762986000000.0,404283000000.0,81204283000000.0,417275000000.0,83813857000000.0,253293000000.0,50876432000000.0,273956000000.0,55026802000000.0,262800000000.0,52786007999999.99,4.55,3.78,0.73,0.63,0.68,33.65
601398,601398.SS,ICBC(중국공상은행),Industrial and Commercial Bank of China Ltd Class A,상해,CNY,8.13,0.37,2191947287942.0,243890503.0,3.83,은행,True,중국,2025,12.31,1405039000000.0,282216134000000.0,1331831000000.0,267511575000000.0,1427948000000.0,286817635000000.0,7.03,7.85,7.52,0.68,0.68,0.69,511113000000.0,102662157000000.0,531673000000.0,106791838999999.98,523318000000.0,105113653000000.0,478775000000.0,96166747000000.0,500053000000.0,100440646000000.0,491451000000.0,98712848000000.0,349029000000.0,70105965000000.0,356798000000.0,71666446000000.0,350900000000.0,70481774000000.0,4.31,4.14,0.87,0.72,0.78,37.55
601857,601857.SS,페트로차이나,PetroChina Co Ltd Class A,상해,CNY,11.17,-0.36,1808669609227.0,91462474.0,4.19,통합 오일 및 가스,True,중국,2025,12.31,3011012000000.0,604791870000000.0,2864469000000.0,575357243000000.0,2937981000000.0,590122864000000.0,7.92,11.74,12.24,1.02,1.3,1.46,528506000000.0,106155714999999.98,472079000000.0,94821788000000.0,491838000000.0,98790581000000.0,280742000000.0,56389838000000.0,238278000000.0,47860519000000.0,262254000000.0,52676338000000.0,161144000000.0,32367384000000.004,157302000000.0,31595680000000.0,164676000000.0,33076821000000.004,5.57,3.89,6.65,6.16,6.67,8.32
600519,600519.SS,귀주모태주,Kweichow Moutai Co.  Ltd. Class A,상해,CNY,1330.0,2.4,1662608529330.0,4541564.0,4.0,증류주 및 포도주,True,중국,2025,12.31,150560300000.0,30241542000000.0,172054200000.0,34558807000000.0,174144100000.0,34978584000000.004,26.65,19.76,21.18,9.23,6.62,7.84,103663000000.0,20821750000000.0,116159400000.0,23331777000000.0,120219100000.0,24147208000000.0,101743000000.0,20436099000000.0,113921300000.0,22882232000000.0,118155000000.0,23732613000000.0,74734070000.0,15011085000000.0,82320070000.0,16534809000000.0,86228150000.0,17319785999999.998,3.45,3.55,29.41,28.31,31.26,66.21
601988,601988.SS,중국은행,Bank of China Ltd Class A,상해,CNY,6.57,0.46,1567537189703.0,242607106.0,3.46,은행,True,중국,2025,12.31,1048851000000.0,210672212000000.0,1000907000000.0,201042180000000.0,1071539000000.0,215229324000000.03,7.2,8.37,7.49,0.63,0.67,0.61,390317000000.0,78399073000000.0,400619000000.0,80468332000000.0,401258000000.0,80596682000000.0,360881000000.0,72486558000000.0,373377000000.0,74996504000000.0,373015000000.0,74923793000000.0,216608000000.0,43507883000000.0,229187000000.0,46034501000000.0,221541000000.0,44498725000000.0,4.46,4.15,0.8,0.7,0.75,37.3
601138,601138.SS,부사강산업인터넷,Foxconn Industrial Internet Co Ltd Class A,상해,CNY,63.69,0.78,1263870237568.0,129549838.0,1.55,통신 및 네트워킹,True,중국,2025,12.31,476340100000.0,95677672000000.0,902887200000.0,181353923000000.0,609135400000.0,122350936000000.02,17.28,36.46,46.54,2.57,7.63,7.07,28030260000.0,5630158000000.0,49565860000.0,9955799000000.0,32056440000.0,6438857000000.0,22734410000.0,4566434000000.0,42714320000.0,8579598000000.0,26486620000.0,5320102000000.0,21040190000.0,4226133000000.0,35285560000.0,7087458000000.0,23216470000.0,4663260000000.0,3.18,1.2,7.35,9.13,7.68,4.73
601088,601088.SS,신화에너지,China Shenhua Energy Co Ltd Class A,상해,CNY,47.61,-0.36,871832049193.0,19862745.0,4.21,석탄,True,중국,2025,12.31,343074000000.0,68909843999999.99,294916000000.0,59236828000000.0,338375000000.0,67966003000000.0,11.78,17.91,16.15,1.78,2.31,2.25,95693000000.0,19220896000000.0,95830000000.0,19248414000000.0,106509000000.0,21393398000000.0,90852000000.0,18248533000000.0,72104000000.0,14482809000000.0,83712000000.0,16814392000000.002,59694000000.0,11990137000000.0,52849000000.0,10615250000000.0,58671000000.0,11784657000000.0,6.17,4.44,11.12,9.69,10.61,24.45
600036,600036.SS,초상은행,China Merchants Bank Co Ltd Class A,상해,CNY,41.69,1.51,860020693245.0,84522855.0,4.91,은행,True,중국,2025,12.31,375610000000.0,75445025000000.0,351351000000.0,70572362000000.0,374271000000.0,75176073000000.0,7.95,7.04,7.04,1.07,0.8,0.83,209082000000.0,41996211000000.0,205277000000.0,41231938000000.0,209463000000.0,42072738000000.0,193783000000.0,38923253000000.0,190054000000.0,38174246000000.0,194002000000.0,38967242000000.0,142044000000.0,28530958000000.0,143874000000.0,28898532000000.0,142810000000.0,28684817000000.0,4.41,5.1,1.4,1.2,1.29,54.09
601628,601628.SS,중국생명보험,China Life Insurance Co Ltd Class A,상해,CNY,39.17,-0.25,815657670100.0,31514101.0,2.18,생명 및 건강 보험,True,중국,2025,12.31,836848000000.0,168089289000000.0,352717000000.0,70846737000000.0,318368000000.0,63947396000000.0,18.78,7.04,10.91,3.24,1.82,2.31,91687000000.0,18416251000000.0,189974000000.0,38158178000000.0,125525000000.0,25212952000000.0,87043000000.0,17483457000000.0,185631000000.0,37285843000000.0,121026000000.0,24309282000000.0,21110000000.0,4240155000000.0005,154078000000.0,30948107000000.0,106935000000.0,21478964000000.0,1.11,1.65,0.42,2.18,1.75,52.63
600900,600900.SS,장강전력,China Yangtze Power Co Ltd Class A,상해,CNY,28.42,-0.07,695386747489.0,68260323.0,3.52,전력 유틸리티,True,중국,2025,12.31,78111570000.0,15689490000000.0,86241940000.0,17322556000000.0,84491870000.0,16971037000000.0,26.69,19.19,20.41,3.59,3.1,3.12,60217890000.0,12095365000000.0,66322440000.0,13321525000000.0,65045390000.0,13065017000000.0,41033400000.0,8241969000000.0,46812230000.0,9402705000000.0,45289630000.0,9096875000000.0,27238970000.0,5471220000000.0,34502810000.0,6930234000000.0,32496170000.0,6527181000000.0,1.41,3.52,4.86,6.21,5.79,54.28
