종목코드,업종_소분류,업종_대분류
257720,인터넷과카탈로그소매,소프트웨어·인터넷
362320,인터넷과카탈로그소매,소프트웨어·인터넷
475460,인터넷과카탈로그소매,소프트웨어·인터넷
035080,인터넷과카탈로그소매,소프트웨어·인터넷
053280,인터넷과카탈로그소매,소프트웨어·인터넷
036030,인터넷과카탈로그소매,소프트웨어·인터넷
204620,기타금융,금융
021880,기타금융,금융
038540,기타금융,금융
023760,기타금융,금융
007330,기타금융,금융
179720,기타금융,금융
0015N0,화장품,유통·소비재
219550,화장품,유통·소비재
161890,화장품,유통·소비재
241710,화장품,유통·소비재
018290,화장품,유통·소비재
078520,화장품,유통·소비재
032940,화장품,유통·소비재
265740,화장품,유통·소비재
950140,화장품,유통·소비재
123330,화장품,유통·소비재
092730,화장품,유통·소비재
003350,화장품,유통·소비재
114840,화장품,유통·소비재
192820,화장품,유통·소비재
318160,화장품,유통·소비재
051900,화장품,유통·소비재
002790,화장품,유통·소비재
278470,화장품,유통·소비재
439090,화장품,유통·소비재
090430,화장품,유통·소비재
226320,화장품,유통·소비재
900300,화장품,유통·소비재
090435,화장품,유통·소비재
237880,화장품,유통·소비재
024720,화장품,유통·소비재
00279K,화장품,유통·소비재
214420,화장품,유통·소비재
406820,화장품,유통·소비재
123690,화장품,유통·소비재
051905,화장품,유통·소비재
352480,화장품,유통·소비재
086710,화장품,유통·소비재
451250,화장품,유통·소비재
002795,화장품,유통·소비재
018250,화장품,유통·소비재
344860,화장품,유통·소비재
027050,화장품,유통·소비재
483650,화장품,유통·소비재
226340,화장품,유통·소비재
025620,화장품,유통·소비재
159580,화장품,유통·소비재
048410,화장품,유통·소비재
052260,화장품,유통·소비재
126560,화장품,유통·소비재
137940,화장품,유통·소비재
420570,화장품,유통·소비재
489460,화장품,유통·소비재
252500,화장품,유통·소비재
900310,화장품,유통·소비재
270210,화장품,유통·소비재
082660,화장품,유통·소비재
317860,화장품,유통·소비재
217480,화장품,유통·소비재
175250,화장품,유통·소비재
214260,화장품,유통·소비재
018700,화장품,유통·소비재
227610,화장품,유통·소비재
453860,화장품,유통·소비재
080530,화장품,유통·소비재
168330,화장품,유통·소비재
260930,화장품,유통·소비재
159910,화장품,유통·소비재
014100,화장품,유통·소비재
083660,화장품,유통·소비재
250030,화장품,유통·소비재
251970,포장재,화학·소재
008730,포장재,화학·소재
014820,포장재,화학·소재
016100,포장재,화학·소재
016590,포장재,화학·소재
